"Lat","Lon","interpolated_CO_concentration","interpolated_AQI","Year"
37.1545747,-93.304959,0.393075295199927,4.42885499956753,"2015"
37.17436555,-93.2958116,0.393071624780125,4.42880811466627,"2015"
37.217619,-94.579795,0.393127583725108,4.4294021604998,"2015"
37.226769,-93.27841,0.393062036447221,4.42868459750618,"2015"
37.300455,-89.982036,0.39432379619269,4.44568586092383,"2015"
37.407001,-94.617242,0.393114060671566,4.42921660420218,"2015"
37.43376791,-90.9599275,0.393263812912876,4.43206725035747,"2015"
37.72830017,-89.87333733,0.395003104737705,4.45474719481359,"2015"
37.749516,-93.769766,0.39302213714688,4.42807707265864,"2015"
37.95826855,-91.7526073,0.392656318554274,4.42381980766374,"2015"
37.9859009,-90.677457,0.392922315915016,4.4284760757042,"2015"
38.06826174,-91.39533943,0.392466504424038,4.4216157708867,"2015"
38.342922,-91.027375,0.391787422448029,4.41329967251882,"2015"
38.387801,-89.274788,0.395558273951652,4.46067576159846,"2015"
38.392795,-91.162087,0.39186450058017,4.41400723980633,"2015"
38.4193247,-90.39766835,0.39104731490668,4.40745417420105,"2015"
38.44080654,-90.19393026,0.398861434469389,4.50948964025881,"2015"
38.453872,-90.311153,0.392036047434809,4.42121911677296,"2015"
38.459055,-90.09146537,0.403066081223255,4.56458789780835,"2015"
38.459226,-90.447618,0.389835821586175,4.3919118248805,"2015"
38.469952,-90.442603,0.389586781038265,4.38892242717636,"2015"
38.49169217,-90.77249951,0.390764871758399,4.40081758018199,"2015"
38.5015756,-90.6305876,0.390056414536345,4.39265758082438,"2015"
38.5093344,-89.97449117,0.402112321660011,4.54948939055383,"2015"
38.51189912,-89.96990022,0.402001207611449,4.5479006609033,"2015"
38.51255737,-90.28704596,0.390580798219734,4.40413155670399,"2015"
38.51587489,-89.9949911,0.402960980138309,4.56120688277992,"2015"
38.51756771,-89.95049886,0.401461219609646,4.54031846990869,"2015"
38.51936538,-90.00368035,0.403386028232785,4.56707833573047,"2015"
38.530769,-89.9584345,0.401832168689435,4.54525494758541,"2015"
38.53838,-90.045413,0.40614578792747,4.60536526738553,"2015"
38.53839743,-89.12726414,0.395215293281119,4.45593701895366,"2015"
38.54212252,-90.33681305,0.386536453892261,4.35429606648417,"2015"
38.54414842,-90.00861102,0.404109419282224,4.57667714343139,"2015"
38.548874,-90.063209,0.407937212608131,4.63033660036056,"2015"
38.549663,-90.372434,0.386385050829377,4.35157722808266,"2015"
38.550534,-90.25474624,0.390993454895789,4.40958845838625,"2015"
38.552738,-90.0106191,0.404343285795252,4.57975897397977,"2015"
38.55277579,-90.25504514,0.390703780320259,4.40594775642808,"2015"
38.5554626,-90.4944996,0.388260729189304,4.37156859195464,"2015"
38.55680396,-89.9010015,0.40022989957578,4.5228597364792,"2015"
38.5577837,-90.4030657,0.386629959751572,4.35365222476217,"2015"
38.559241,-90.520264,0.388550149029387,4.37473260002575,"2015"
38.559812,-90.249987,0.390871333421288,4.40777667180267,"2015"
38.5603596,-90.2555495,0.389726637376584,4.39368824603708,"2015"
38.56098,-90.243562,0.392158227499555,4.42371663831244,"2015"
38.56322723,-90.25908508,0.388731370821404,4.38148267875316,"2015"
38.56348922,-90.2547016,0.38948266018088,4.39057025470365,"2015"
38.563911,-90.24192623,0.392237564241705,4.42452336083386,"2015"
38.56440423,-90.27579142,0.386339487112135,4.35294454184738,"2015"
38.56511882,-90.25259795,0.389679071416395,4.3928688450737,"2015"
38.565805,-90.421728,0.386785267340863,4.35498835601596,"2015"
38.56621533,-90.30453624,0.38458560950045,4.33224810428201,"2015"
38.56683065,-90.36645824,0.385404020636375,4.34012005344716,"2015"
38.56749287,-90.24776372,0.390405454880062,4.40157602337964,"2015"
38.5680312,-90.3257566,0.384422231574744,4.32990371417244,"2015"
38.5682313,-90.4032792,0.386288178786904,4.34949507541781,"2015"
38.56859996,-90.24961857,0.389840899228013,4.39459712648315,"2015"
38.56967981,-90.25812196,0.387989295459398,4.37223681672683,"2015"
38.57026229,-90.24441845,0.390844207727598,4.40672079316536,"2015"
38.570853,-89.987357,0.403193689957303,4.5634022195376,"2015"
38.57127267,-90.17110333,0.417763898101225,4.77020196811449,"2015"
38.571562,-90.283117,0.384717657377108,4.33394056010924,"2015"
38.57173529,-90.23510023,0.393247257607967,4.43647745983169,"2015"
38.57222507,-90.2927863,0.38414262991743,4.32729832564905,"2015"
38.573529,-90.23923,0.391808941640107,4.41827470223347,"2015"
38.57399041,-90.25247202,0.388448228189719,4.37734989245708,"2015"
38.574954,-90.275931,0.384783938587929,4.33460980022172,"2015"
38.5752413,-90.406085,0.386143886681898,4.34763703587385,"2015"
38.5756025,-90.3772606,0.38530854717614,4.33861187743336,"2015"
38.57575483,-90.23853716,0.391716697268146,4.41683833953761,"2015"
38.57713745,-90.25157002,0.388160481384382,4.37359659423546,"2015"
38.57831886,-90.25359672,0.387539399109365,4.36614585898788,"2015"
38.57858218,-90.23305763,0.393062291712478,4.43317216798775,"2015"
38.57902831,-90.24654182,0.389052499372599,4.3839533565755,"2015"
38.5790321,-90.27137264,0.384608021639278,4.33240574531364,"2015"
38.57914067,-90.27137013,0.384590994812759,4.33220694045815,"2015"
38.57927296,-90.24549069,0.389282981855745,4.3866744047016,"2015"
38.57936929,-90.24013167,0.390741607234076,4.40429861277968,"2015"
38.5808227,-90.23281108,0.392844604313554,4.43003441965456,"2015"
38.58087929,-89.91812279,0.400582369511794,4.52734203114643,"2015"
38.58118051,-90.23387499,0.392436087036443,4.42486436702123,"2015"
