"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/02/2018","AQS","290719001","1","19","ppb","27","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/03/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/04/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/05/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","23","96.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/06/2018","AQS","290719001","1","7","ppb","10","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/07/2018","AQS","290719001","1","2","ppb","3","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/08/2018","AQS","290719001","1","32","ppb","46","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/09/2018","AQS","290719001","1","14","ppb","20","Valley Site, Labadie","21","88.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/10/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/11/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/12/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","23","96.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/13/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/14/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/15/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/16/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/17/2018","AQS","290719001","1","2","ppb","3","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/18/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/19/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","23","96.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/20/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/21/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/22/2018","AQS","290719001","1","2","ppb","3","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/23/2018","AQS","290719001","1","6","ppb","9","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/24/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/25/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/26/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","23","96.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/27/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/28/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/29/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/30/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"01/31/2018","AQS","290719001","1","5","ppb","7","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/01/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/02/2018","AQS","290719001","1","33","ppb","47","Valley Site, Labadie","23","96.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/03/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","22","92.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/04/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/05/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/06/2018","AQS","290719001","1","1","ppb","1","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/07/2018","AQS","290719001","1","11","ppb","16","Valley Site, Labadie","24","100.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
"02/08/2018","AQS","290719001","1","0","ppb","0","Valley Site, Labadie","22","92.0000","42401","Sulfur dioxide","41180","St. Louis, MO-IL","29","Missouri","071","Franklin","38.572522","-90.796911"
