"Lat","Lon","interpolated_NO2_concentration","interpolated_AQI","Year"
37.1545747,-93.304959,24.4076113833387,22.5849951808367,"2015"
37.17436555,-93.2958116,24.4074980796895,22.5848872440042,"2015"
37.217619,-94.579795,24.4050083091458,22.5825329619492,"2015"
37.226769,-93.27841,24.407163901017,22.5845690554132,"2015"
37.300455,-89.982036,24.4670452690074,22.6415490242667,"2015"
37.407001,-94.617242,24.4041598442289,22.5817264258663,"2015"
37.43376791,-90.9599275,24.4456450840872,22.621092793718,"2015"
37.72830017,-89.87333733,24.4876786303651,22.6612318230856,"2015"
37.749516,-93.769766,24.4024576947565,22.58010016306,"2015"
37.95826855,-91.7526073,24.405905298644,22.5833278334908,"2015"
37.9859009,-90.677457,24.4785154273518,22.6522238402995,"2015"
38.06826174,-91.39533943,24.4086777769329,22.5859376620564,"2015"
38.342922,-91.027375,24.3973449230866,22.5751312276168,"2015"
38.387801,-89.274788,24.4515657956456,22.6271192505694,"2015"
38.392795,-91.162087,24.3857113075443,22.5641055273615,"2015"
38.4193247,-90.39766835,24.6948715308179,22.8572327748615,"2015"
38.44080654,-90.19393026,24.7108422368983,22.8735789961404,"2015"
38.453872,-90.311153,24.8201872826643,22.9763272438371,"2015"
38.459055,-90.09146537,24.6108301331801,22.779417001567,"2015"
38.459226,-90.447618,24.6480573695036,22.8126802654512,"2015"
38.469952,-90.442603,24.6605133535594,22.8244683153565,"2015"
38.49169217,-90.77249951,24.3739192199773,22.5528622402779,"2015"
38.5015756,-90.6305876,24.4040380034541,22.5813683723477,"2015"
38.5093344,-89.97449117,24.5302967972177,22.7030966439127,"2015"
38.51189912,-89.96990022,24.5277197855863,22.700640847755,"2015"
38.51255737,-90.28704596,24.9972814177581,23.1443398900429,"2015"
38.51587489,-89.9949911,24.5370978038166,22.7097007590506,"2015"
38.51756771,-89.95049886,24.5189432044421,22.692238062487,"2015"
38.51936538,-90.00368035,24.5400239341559,22.7125532714634,"2015"
38.530769,-89.9584345,24.517599725413,22.691061620444,"2015"
38.53838,-90.045413,24.5558629722968,22.7280625424651,"2015"
38.53839743,-89.12726414,24.4394823531392,22.6155979093037,"2015"
38.54212252,-90.33681305,25.0999690658955,23.2412296784449,"2015"
38.54414842,-90.00861102,24.5330883793308,22.7061876168664,"2015"
38.548874,-90.063209,24.5631791530004,22.7353124073012,"2015"
38.549663,-90.372434,24.9647487330392,23.1127795203492,"2015"
38.550534,-90.25474624,25.0865462457386,23.2293916156369,"2015"
38.552738,-90.0106191,24.5303567267513,22.7036755574405,"2015"
38.55277579,-90.25504514,25.1003607271775,23.2424811563883,"2015"
38.5554626,-90.4944996,24.4837514938231,22.6567934292712,"2015"
38.55680396,-89.9010015,24.4931934943242,22.6676571499258,"2015"
38.5577837,-90.4030657,24.8135128339964,22.9692801161654,"2015"
38.559241,-90.520264,24.4279291211777,22.6039248877806,"2015"
38.559812,-90.249987,25.0999230477854,23.242167509418,"2015"
38.5603596,-90.2555495,25.1479261270435,23.2875577662807,"2015"
38.56098,-90.243562,25.0515797169846,23.1965036904767,"2015"
38.56322723,-90.25908508,25.1958691989146,23.3329442800254,"2015"
38.56348922,-90.2547016,25.1603946308502,23.2993900537955,"2015"
38.563911,-90.24192623,25.0476695327564,23.1928463094152,"2015"
38.56440423,-90.27579142,25.3227316844903,23.4530304913883,"2015"
38.56511882,-90.25259795,25.1514570330653,23.2909565221859,"2015"
38.565805,-90.421728,24.7155686294223,22.8763988742729,"2015"
38.56621533,-90.30453624,25.3862806212747,23.5130519237108,"2015"
38.56683065,-90.36645824,25.0404582139605,23.1845232007971,"2015"
38.56749287,-90.24776372,25.1176383657658,23.2590041754419,"2015"
38.5680312,-90.3257566,25.3147850385962,23.4450222800703,"2015"
38.5682313,-90.4032792,24.8110131918501,22.9668681456866,"2015"
38.56859996,-90.24961857,25.142098411036,23.2821433319514,"2015"
38.56967981,-90.25812196,25.2360472756116,23.3710423038694,"2015"
38.57026229,-90.24441845,25.0952426270717,23.2378609391994,"2015"
38.570853,-89.987357,24.5123765169385,22.6864992092941,"2015"
38.57127267,-90.17110333,24.677877502435,22.8454819367945,"2015"
38.571562,-90.283117,25.4405286252956,23.5647186289203,"2015"
38.57173529,-90.23510023,25.001645667004,23.149476618549,"2015"
38.57222507,-90.2927863,25.4694562224562,23.5920895596073,"2015"
38.573529,-90.23923,25.0490263771877,23.1942222378479,"2015"
38.57399041,-90.25247202,25.2058121747937,23.3424648791432,"2015"
38.574954,-90.275931,25.4482293400395,23.5720876673809,"2015"
38.5752413,-90.406085,24.790360211651,22.947259402649,"2015"
38.5756025,-90.3772606,24.9801601556358,23.1272555066156,"2015"
38.57575483,-90.23853716,25.046212637294,23.1915797864336,"2015"
38.57713745,-90.25157002,25.2153029229781,23.3514675285752,"2015"
38.57831886,-90.25359672,25.2502697310678,23.3845744426965,"2015"
38.57858218,-90.23305763,24.9864905645258,23.135225105705,"2015"
38.57902831,-90.24654182,25.1585719018468,23.297797250869,"2015"
38.5790321,-90.27137264,25.4674099216399,23.5903238688157,"2015"
38.57914067,-90.27137013,25.4688750058669,23.5917140382791,"2015"
38.57927296,-90.24549069,25.145277662697,23.2852239208454,"2015"
38.57936929,-90.24013167,25.0738353995821,23.2176891066671,"2015"
38.5808227,-90.23281108,24.984080296525,23.1329591725313,"2015"
38.58087929,-89.91812279,24.4888547464474,22.6636725422782,"2015"
38.58118051,-90.23387499,24.9968884251814,23.1450420267273,"2015"
38.58180235,-90.26833247,25.4744568707785,23.5970310985712,"2015"
