"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","290210005","3","9","ug/m3 SC","8","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/02/2021","AQS","290210005","3","20","ug/m3 SC","19","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/03/2021","AQS","290210005","3","15","ug/m3 SC","14","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/04/2021","AQS","290210005","3","10","ug/m3 SC","9","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/05/2021","AQS","290210005","3","24","ug/m3 SC","22","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/06/2021","AQS","290210005","3","10","ug/m3 SC","9","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/07/2021","AQS","290210005","3","20","ug/m3 SC","19","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/08/2021","AQS","290210005","3","13","ug/m3 SC","12","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/09/2021","AQS","290210005","3","11","ug/m3 SC","10","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/10/2021","AQS","290210005","3","14","ug/m3 SC","13","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/11/2021","AQS","290210005","3","22","ug/m3 SC","20","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/12/2021","AQS","290210005","3","35","ug/m3 SC","32","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/13/2021","AQS","290210005","3","38","ug/m3 SC","35","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/14/2021","AQS","290210005","3","27","ug/m3 SC","25","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/15/2021","AQS","290210005","3","8","ug/m3 SC","7","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/16/2021","AQS","290210005","3","7","ug/m3 SC","6","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/17/2021","AQS","290210005","3","9","ug/m3 SC","8","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/18/2021","AQS","290210005","3","26","ug/m3 SC","24","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/19/2021","AQS","290210005","3","12","ug/m3 SC","11","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/20/2021","AQS","290210005","3","33","ug/m3 SC","31","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/21/2021","AQS","290210005","3","26","ug/m3 SC","24","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
"01/22/2021","AQS","290210005","3","18","ug/m3 SC","17","St. Joseph Pump Station","1","100.0000","81102","PM10 Total 0-10um STP","41140","St. Joseph, MO-KS","29","Missouri","021","Buchanan","39.7416944853212","-94.858584090462"
