"Lat","Lon","interpolated_PB_concentration","Year"
37.1545747,-93.304959,0.0199558131981995,"2015"
37.17436555,-93.2958116,0.019957328077784,"2015"
37.217619,-94.579795,0.0199443316666266,"2015"
37.226769,-93.27841,0.0199615268287015,"2015"
37.300455,-89.982036,0.0193156257389421,"2015"
37.407001,-94.617242,0.0199475960812829,"2015"
37.43376791,-90.9599275,0.0180937404512065,"2015"
37.72830017,-89.87333733,0.0205877556550117,"2015"
37.749516,-93.769766,0.0199829952393304,"2015"
37.95826855,-91.7526073,0.0201592325877364,"2015"
37.9859009,-90.677457,0.0171278910264129,"2015"
38.06826174,-91.39533943,0.0203597223090257,"2015"
38.342922,-91.027375,0.0216630239774183,"2015"
38.387801,-89.274788,0.0195639203286021,"2015"
38.392795,-91.162087,0.0212415200970648,"2015"
38.4193247,-90.39766835,0.0240374196083262,"2015"
38.44080654,-90.19393026,0.0203586604857656,"2015"
38.453872,-90.311153,0.0224604974496438,"2015"
38.459055,-90.09146537,0.0177334503821318,"2015"
38.459226,-90.447618,0.0235929006281992,"2015"
38.469952,-90.442603,0.023314589966539,"2015"
38.49169217,-90.77249951,0.0226158156336203,"2015"
38.5015756,-90.6305876,0.0230152888127681,"2015"
38.5093344,-89.97449117,0.0163164666379611,"2015"
38.51189912,-89.96990022,0.0162945917065285,"2015"
38.51255737,-90.28704596,0.0175280388173251,"2015"
38.51587489,-89.9949911,0.0158263973177309,"2015"
38.51756771,-89.95049886,0.0163767171887424,"2015"
38.51936538,-90.00368035,0.0155737574499476,"2015"
38.530769,-89.9584345,0.0159046618832583,"2015"
38.53838,-90.045413,0.014066301329128,"2015"
38.53839743,-89.12726414,0.0193201523550862,"2015"
38.54212252,-90.33681305,0.0174925091901872,"2015"
38.54414842,-90.00861102,0.0146101814337453,"2015"
38.548874,-90.063209,0.0132089202912848,"2015"
38.549663,-90.372434,0.0185606423911904,"2015"
38.550534,-90.25474624,0.0127426674756244,"2015"
38.552738,-90.0106191,0.0142773668352517,"2015"
38.55277579,-90.25504514,0.0125673018951091,"2015"
38.5554626,-90.4944996,0.0213307906032601,"2015"
38.55680396,-89.9010015,0.016147073567456,"2015"
