"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","AQS","290770026","1","2.1","ppb","3","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/02/2012","AQS","290770026","1","2.1","ppb","3","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/03/2012","AQS","290770026","1","12.1","ppb","17","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/04/2012","AQS","290770026","1","3.5","ppb","4","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/05/2012","AQS","290770026","1","3.2","ppb","4","","23","96.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/06/2012","AQS","290770026","1","2.1","ppb","3","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/07/2012","AQS","290770026","1","2","ppb","3","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/08/2012","AQS","290770026","1","3","ppb","4","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/09/2012","AQS","290770026","1","4.3","ppb","6","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
"01/10/2012","AQS","290770026","1","2.3","ppb","3","","24","100.0000","42401","Sulfur dioxide","44180","Springfield, MO","29","Missouri","077","Greene","37.1226303791717","-93.2633533591085"
