"Lat","Lon","interpolated_SO2_concentration","interpolated_days_over_legal_threshold","interpolated_AQI","interpolated_est_days_mod_AQI_thresh","interpolated_est_days_sens_AQI_thresh","interpolated_est_days_unhealthy_AQI_thresh","Year"
37.1545747,-93.304959,3.30560146080002,0,4.31265706758544,0,0,0,"2015"
37.17436555,-93.2958116,3.30486947910515,0,4.31184664028282,0,0,0,"2015"
37.217619,-94.579795,3.34239935612093,0,4.35690174236229,0,0,0,"2015"
37.226769,-93.27841,3.30316710978306,0,4.30998704957384,0,0,0,"2015"
37.300455,-89.982036,3.22867216799838,0,4.1640663883013,0,0,0,"2015"
37.407001,-94.617242,3.34205773441903,0,4.35669575424061,0,0,0,"2015"
37.43376791,-90.9599275,3.20832408695227,0,4.19541641928597,0,0,0,"2015"
37.72830017,-89.87333733,3.14358032641635,0,3.99286808952532,0,0,0,"2015"
37.749516,-93.769766,3.31434776727615,0,4.32432009491403,0,0,0,"2015"
37.95826855,-91.7526073,3.17972794631243,0,4.17571858309599,0,0,0,"2015"
37.9859009,-90.677457,3.16454603093819,0,4.16173798026353,0,0,0,"2015"
38.06826174,-91.39533943,3.12003931292909,0,4.11320171442852,0,0,0,"2015"
38.342922,-91.027375,2.90512910111252,0,3.88340208958526,0,0,0,"2015"
38.387801,-89.274788,3.3650276899666,0,4.22182663912172,0,0,0,"2015"
38.392795,-91.162087,2.92129212458804,0,3.89710908540947,0,0,0,"2015"
38.4193247,-90.39766835,3.60712600717624,0,4.62238995322083,0,0,0,"2015"
38.44080654,-90.19393026,3.76236138651122,0,4.79540967458847,0,0,0,"2015"
38.453872,-90.311153,3.72218823826099,0,4.75790279253254,0,0,0,"2015"
38.459055,-90.09146537,3.80421345900391,0,4.8276247358821,0,0,0,"2015"
38.459226,-90.447618,3.57268797080704,0,4.60174725896924,0,0,0,"2015"
38.469952,-90.442603,3.58909478288177,0,4.62176723796009,0,0,0,"2015"
38.49169217,-90.77249951,3.03502242458614,0,4.13121648024357,0,0,0,"2015"
38.5015756,-90.6305876,3.20350346458788,0,4.26349986834513,0,0,0,"2015"
38.5093344,-89.97449117,3.76444811785231,0,4.75719592895086,0,0,0,"2015"
38.51189912,-89.96990022,3.76150210770263,0,4.75284497659376,0,0,0,"2015"
38.51255737,-90.28704596,3.92921023976055,0,4.9980359394251,0,0,0,"2015"
38.51587489,-89.9949911,3.8155215959556,0,4.82465208841473,0,0,0,"2015"
38.51756771,-89.95049886,3.73775410819087,0,4.71981049234071,0,0,0,"2015"
38.51936538,-90.00368035,3.83871141067985,0,4.854666714996,0,0,0,"2015"
38.530769,-89.9584345,3.77736861232818,0,4.77235990733865,0,0,0,"2015"
38.53838,-90.045413,3.95307734647927,0,4.99791528275277,0,0,0,"2015"
38.53839743,-89.12726414,3.4915658798995,0,4.43218821934047,0,0,0,"2015"
38.54212252,-90.33681305,3.92283144216404,0,4.99900367257423,0,0,0,"2015"
38.54414842,-90.00861102,3.89558632311956,0,4.92570793028579,0,0,0,"2015"
38.548874,-90.063209,4.00405166403585,0,5.05929702724596,0,0,0,"2015"
38.549663,-90.372434,3.85969584899435,0,4.93145291067307,0,0,0,"2015"
38.550534,-90.25474624,4.07471102480295,0,5.16188762366088,0,0,0,"2015"
38.552738,-90.0106191,3.91387368964565,0,4.94840656761742,0,0,0,"2015"
38.55277579,-90.25504514,4.07982108278836,0,5.16795811410505,0,0,0,"2015"
38.5554626,-90.4944996,3.55067114309666,0,4.60413869953282,0,0,0,"2015"
38.55680396,-89.9010015,3.71788545819586,0,4.69114597365816,0,0,0,"2015"
38.5577837,-90.4030657,3.79840421224535,0,4.86621889788451,0,0,0,"2015"
38.559241,-90.520264,3.481624396547,0,4.53480535208435,0,0,0,"2015"
38.559812,-90.249987,4.10041155802044,0,5.19091826472038,0,0,0,"2015"
38.5603596,-90.2555495,4.097086474468,0,5.18846910319236,0,0,0,"2015"
38.56098,-90.243562,4.10760479238101,0,5.19763643184575,0,0,0,"2015"
38.56322723,-90.25908508,4.10053914813198,0,5.19352587575717,0,0,0,"2015"
38.56348922,-90.2547016,4.10487572022303,0,5.19749744486826,0,0,0,"2015"
38.563911,-90.24192623,4.11479411204373,0,5.20562880732508,0,0,0,"2015"
38.56440423,-90.27579142,4.08571086701698,0,5.18012228004739,0,0,0,"2015"
38.56511882,-90.25259795,4.11013516238611,0,5.20317419339959,0,0,0,"2015"
38.565805,-90.421728,3.76145097400476,0,4.82775440377026,0,0,0,"2015"
38.56621533,-90.30453624,4.04674053986543,0,5.14004993530439,0,0,0,"2015"
38.56683065,-90.36645824,3.91013277817215,0,4.99012970848598,0,0,0,"2015"
38.56749287,-90.24776372,4.11860465824874,0,5.21186160793701,0,0,0,"2015"
38.5680312,-90.3257566,4.00920870426626,0,5.09961581702687,0,0,0,"2015"
38.5682313,-90.4032792,3.81554557778799,0,4.8867602355125,0,0,0,"2015"
38.56859996,-90.24961857,4.11972890188388,0,5.21375905969483,0,0,0,"2015"
38.56967981,-90.25812196,4.1158733122861,0,5.21164666669145,0,0,0,"2015"
38.57026229,-90.24441845,4.12627758513808,0,5.21999054221085,0,0,0,"2015"
38.570853,-89.987357,3.89615073834696,0,4.92571229327853,0,0,0,"2015"
38.57127267,-90.17110333,4.15096386737082,0,5.22790233116543,0,0,0,"2015"
38.571562,-90.283117,4.09353898827307,0,5.19145294365496,0,0,0,"2015"
38.57173529,-90.23510023,4.1334487431438,0,5.22552181275249,0,0,0,"2015"
38.57222507,-90.2927863,4.08107367890321,0,5.178756612449,0,0,0,"2015"
