"Lat","Lon"
38.5992168122084,-90.2736625868692
38.6178147,-90.2198926439993
38.60374275,-90.2080979455692
38.6711040909091,-90.2198715757576
NA,NA
38.5790283061224,-90.2465418163265
38.7167178906661,-90.23884363243
38.6986464307355,-90.3310789700253
38.5992168122084,-90.2736625868692
38.6225595204575,-90.2289769602824
38.6036830880767,-90.2301912789956
38.6808411598012,-90.2544373617533
38.6808411598012,-90.2544373617533
38.733224333817,-90.3723166979993
38.733224333817,-90.3723166979993
38.5883637708316,-90.3101816062564
NA,NA
38.6966545350884,-90.2500339319497
38.7043831961055,-90.2500319890962
38.6178147,-90.2198926439993
38.511899122449,-89.9699002244898
38.5914378925006,-90.2408070839181
38.643687412666,-90.2242196007661
38.66106375,-90.2466204655109
38.6724365306122,-90.2847069591837
NA,NA
38.60374275,-90.2080979455692
38.6195570364158,-90.2222248104262
NA,NA
38.6957633621075,-90.2496773157325
38.5680312,-90.3257566016908
38.5917764094531,-90.3061180431435
38.6452851229752,-90.2567173141293
38.4193246962285,-90.3976683544001
38.6751593352688,-90.3459093728899
38.6541685,-90.2830308768769
38.7049083043478,-90.124327173913
NA,NA
38.6635961413435,-90.2322152547854
38.6283508100704,-90.3052462654644
38.6043104940091,-90.2314690318514
38.6334746980462,-90.2053207732617
38.62780335,-90.1867375673304
38.7119074142309,-90.3013529242522
38.60374275,-90.2080979455692
38.5674928674737,-90.2477637213825
38.5833329182616,-90.2348107015832
38.6604770098838,-90.2029172799707
38.6811754633254,-90.3389731050412
38.5632272292361,-90.2590850782239
38.6993217835365,-90.2852492329464
38.7187289666667,-90.2291300666667
38.6289576088319,-90.193702170171
