"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","170190006","1","6.6","ug/m3 LC","28","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/06/2021","AQS","170190006","1","10.1","ug/m3 LC","42","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/07/2021","AQS","170190006","1","4","ug/m3 LC","17","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/10/2021","AQS","170190006","1","13.3","ug/m3 LC","54","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/13/2021","AQS","170190006","1","10.6","ug/m3 LC","44","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/16/2021","AQS","170190006","1","10.7","ug/m3 LC","45","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/19/2021","AQS","170190006","1","8.7","ug/m3 LC","36","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/22/2021","AQS","170190006","1","3","ug/m3 LC","13","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/25/2021","AQS","170190006","1","12.5","ug/m3 LC","52","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/28/2021","AQS","170190006","1","7.3","ug/m3 LC","30","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
