"Lat","Lon","interpolated_PM10_concentration","interpolated_days_over_legal_threshold","interpolated_AQI","interpolated_est_days_mod_AQI_thresh","interpolated_est_days_sens_AQI_thresh","interpolated_est_days_unhealthy_AQI_thresh","Year"
37.1545747,-93.304959,19.1870169363295,0,17.6299343703173,0,0,0,"2015"
37.17436555,-93.2958116,19.1858799299143,0,17.628916545791,0,0,0,"2015"
37.217619,-94.579795,19.291583812049,0,17.7236467670783,0,0,0,"2015"
37.226769,-93.27841,19.18368461026,0,17.6269524356743,0,0,0,"2015"
37.300455,-89.982036,18.9924747226243,0,17.4551487484561,0,0,0,"2015"
37.407001,-94.617242,19.2965760598117,0,17.7281267780655,0,0,0,"2015"
37.43376791,-90.9599275,18.6142651730482,0,17.1158491713591,0,0,0,"2015"
37.72830017,-89.87333733,19.0312851281915,0,17.4899871313184,0,0,0,"2015"
37.749516,-93.769766,19.2431349386839,0,17.6802675384038,0,0,0,"2015"
37.95826855,-91.7526073,18.8286002204932,0,17.308582440218,0,0,0,"2015"
37.9859009,-90.677457,17.8088201957962,0,16.391680284844,0,0,0,"2015"
38.06826174,-91.39533943,18.6081668778927,0,17.1107347857381,0,0,0,"2015"
38.342922,-91.027375,18.2022771751995,0,16.746323541529,0,0,0,"2015"
38.387801,-89.274788,20.2105488111644,0,18.5455279814925,0,0,0,"2015"
38.392795,-91.162087,18.441725044135,0,16.9615520516655,0,0,0,"2015"
38.4193247,-90.39766835,14.6438465282149,0,13.5393221951974,0,0,0,"2015"
38.44080654,-90.19393026,17.9287806771621,0,16.5020722689253,0,0,0,"2015"
38.453872,-90.311153,14.7539440538186,0,13.618643864275,0,0,0,"2015"
38.459055,-90.09146537,20.0943038220846,0,18.4520133108426,0,0,0,"2015"
38.459226,-90.447618,14.9577749162383,0,13.8227592640147,0,0,0,"2015"
38.469952,-90.442603,14.9600281519431,0,13.8247761323994,0,0,0,"2015"
38.49169217,-90.77249951,17.7236738151666,0,16.3163713575239,0,0,0,"2015"
38.5015756,-90.6305876,17.0857219620226,0,15.7421056882327,0,0,0,"2015"
38.5093344,-89.97449117,21.2961705662154,0,19.5201195626834,0,0,0,"2015"
38.51189912,-89.96990022,21.3230757647521,0,19.5437811833706,0,0,0,"2015"
38.51255737,-90.28704596,16.4670450417411,0,15.1798921110788,0,0,0,"2015"
38.51587489,-89.9949911,21.3867014925478,0,19.6021369369726,0,0,0,"2015"
38.51756771,-89.95049886,21.362506727036,0,19.5777447517825,0,0,0,"2015"
38.51936538,-90.00368035,21.4360337040173,0,19.6467686147872,0,0,0,"2015"
38.530769,-89.9584345,21.5205754172729,0,19.7185938540013,0,0,0,"2015"
38.53838,-90.045413,21.7288351904312,0,19.9122494904226,0,0,0,"2015"
38.53839743,-89.12726414,20.2716565675615,0,18.5999624253202,0,0,0,"2015"
38.54212252,-90.33681305,16.5773421472488,0,15.2825871411999,0,0,0,"2015"
38.54414842,-90.00861102,21.7966932645701,0,19.9677517789589,0,0,0,"2015"
38.548874,-90.063209,21.9095415938845,0,20.0762422655475,0,0,0,"2015"
38.549663,-90.372434,16.4461823893843,0,15.1651788545546,0,0,0,"2015"
38.550534,-90.25474624,19.0244390624259,0,17.5048650913227,0,0,0,"2015"
38.552738,-90.0106191,21.9295384097074,0,20.0857327910682,0,0,0,"2015"
38.55277579,-90.25504514,19.0907763069189,0,17.5653439458347,0,0,0,"2015"
38.5554626,-90.4944996,16.6561504273296,0,15.3557095592778,0,0,0,"2015"
38.55680396,-89.9010015,21.5898833132571,0,19.777106118812,0,0,0,"2015"
38.5577837,-90.4030657,16.5078025669241,0,15.2217551613256,0,0,0,"2015"
38.559241,-90.520264,16.8532759512087,0,15.5334590081436,0,0,0,"2015"
38.559812,-90.249987,19.4664281328554,0,17.9074107716778,0,0,0,"2015"
38.5603596,-90.2555495,19.3146513449305,0,17.7695328127247,0,0,0,"2015"
38.56098,-90.243562,19.692013841763,0,18.1125338293546,0,0,0,"2015"
38.56322723,-90.25908508,19.2919390500243,0,17.7491560229407,0,0,0,"2015"
38.56348922,-90.2547016,19.4299736727248,0,17.8746974127137,0,0,0,"2015"
38.563911,-90.24192623,19.8198194750742,0,18.2291192932311,0,0,0,"2015"
38.56440423,-90.27579142,18.8352183650258,0,17.3338439930294,0,0,0,"2015"
38.56511882,-90.25259795,19.5366815806027,0,17.9719084495675,0,0,0,"2015"
38.565805,-90.421728,16.6683436004427,0,15.3670979867033,0,0,0,"2015"
38.56621533,-90.30453624,18.1199731665772,0,16.6834656180488,0,0,0,"2015"
38.56683065,-90.36645824,17.0383814425234,0,15.7017817846042,0,0,0,"2015"
38.56749287,-90.24776372,19.7397652201928,0,18.1568964938163,0,0,0,"2015"
38.5680312,-90.3257566,17.7081205890153,0,16.3092406685983,0,0,0,"2015"
38.5682313,-90.4032792,16.7895353161293,0,15.4766759038332,0,0,0,"2015"
38.56859996,-90.24961857,19.7124421411073,0,18.1321953087485,0,0,0,"2015"
38.56967981,-90.25812196,19.4907944446553,0,17.9306385922344,0,0,0,"2015"
38.57026229,-90.24441845,19.9030201139503,0,18.3057959503223,0,0,0,"2015"
38.570853,-89.987357,22.1040032655369,0,20.2373599335824,0,0,0,"2015"
38.57127267,-90.17110333,21.6879960914321,0,19.9155739876448,0,0,0,"2015"
38.571562,-90.283117,18.8379269144552,0,17.336478485625,0,0,0,"2015"
38.57173529,-90.23510023,20.2057214677578,0,18.5813244375139,0,0,0,"2015"
38.57222507,-90.2927863,18.6030424636136,0,17.1227296165883,0,0,0,"2015"
