Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/15/2020,AQS,295100085,6,24,ug/m3 SC,22,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/16/2020,AQS,295100085,6,33,ug/m3 SC,31,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/17/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/18/2020,AQS,295100085,6,26,ug/m3 SC,24,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/19/2020,AQS,295100085,6,30,ug/m3 SC,28,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/20/2020,AQS,295100085,6,25,ug/m3 SC,23,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/21/2020,AQS,295100085,6,14,ug/m3 SC,13,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/22/2020,AQS,295100085,6,15,ug/m3 SC,14,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/23/2020,AQS,295100085,6,12,ug/m3 SC,11,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/24/2020,AQS,295100085,6,14,ug/m3 SC,13,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/25/2020,AQS,295100085,6,28,ug/m3 SC,26,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/26/2020,AQS,295100085,6,24,ug/m3 SC,22,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/27/2020,AQS,295100085,6,59,ug/m3 SC,53,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/28/2020,AQS,295100085,6,83,ug/m3 SC,65,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/29/2020,AQS,295100085,6,38,ug/m3 SC,35,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
6/30/2020,AQS,295100085,6,15,ug/m3 SC,14,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/1/2020,AQS,295100085,6,19,ug/m3 SC,18,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/2/2020,AQS,295100085,6,28,ug/m3 SC,26,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/3/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/4/2020,AQS,295100085,6,36,ug/m3 SC,33,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/5/2020,AQS,295100085,6,47,ug/m3 SC,44,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/6/2020,AQS,295100085,6,32,ug/m3 SC,30,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/7/2020,AQS,295100085,6,33,ug/m3 SC,31,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/8/2020,AQS,295100085,6,28,ug/m3 SC,26,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/9/2020,AQS,295100085,6,26,ug/m3 SC,24,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/10/2020,AQS,295100085,6,18,ug/m3 SC,17,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/11/2020,AQS,295100085,6,19,ug/m3 SC,18,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/12/2020,AQS,295100085,6,12,ug/m3 SC,11,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/13/2020,AQS,295100085,6,33,ug/m3 SC,31,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/14/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/15/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/16/2020,AQS,295100085,6,18,ug/m3 SC,17,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/17/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/18/2020,AQS,295100085,6,17,ug/m3 SC,16,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/19/2020,AQS,295100085,6,19,ug/m3 SC,18,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/20/2020,AQS,295100085,6,18,ug/m3 SC,17,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/21/2020,AQS,295100085,6,15,ug/m3 SC,14,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/22/2020,AQS,295100085,6,13,ug/m3 SC,12,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/23/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/24/2020,AQS,295100085,6,23,ug/m3 SC,21,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/25/2020,AQS,295100085,6,15,ug/m3 SC,14,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/26/2020,AQS,295100085,6,10,ug/m3 SC,9,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/27/2020,AQS,295100085,6,10,ug/m3 SC,9,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/28/2020,AQS,295100085,6,23,ug/m3 SC,21,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/29/2020,AQS,295100085,6,21,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/30/2020,AQS,295100085,6,11,ug/m3 SC,10,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
7/31/2020,AQS,295100085,6,13,ug/m3 SC,12,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/1/2020,AQS,295100085,6,11,ug/m3 SC,10,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/2/2020,AQS,295100085,6,15,ug/m3 SC,14,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/3/2020,AQS,295100085,6,15,ug/m3 SC,14,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/4/2020,AQS,295100085,6,14,ug/m3 SC,13,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/5/2020,AQS,295100085,6,23,ug/m3 SC,21,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/6/2020,AQS,295100085,6,34,ug/m3 SC,31,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/7/2020,AQS,295100085,6,24,ug/m3 SC,22,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/8/2020,AQS,295100085,6,20,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/9/2020,AQS,295100085,6,12,ug/m3 SC,11,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/10/2020,AQS,295100085,6,22,ug/m3 SC,20,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/11/2020,AQS,295100085,6,20,ug/m3 SC,19,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
8/12/2020,AQS,295100085,6,17,ug/m3 SC,16,Blair Street,1,100,81102,PM10 Total 0-10um STP,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
