"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2011","AQS","170310063","1","13","ppb","12","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/02/2011","AQS","170310063","1","27","ppb","25","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/03/2011","AQS","170310063","1","49","ppb","46","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/04/2011","AQS","170310063","1","33","ppb","31","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/05/2011","AQS","170310063","1","59","ppb","56","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/06/2011","AQS","170310063","1","45","ppb","42","CTA BUILDING","21","88.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/13/2011","AQS","170310063","1","51","ppb","48","CTA BUILDING","18","75.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/14/2011","AQS","170310063","1","49","ppb","46","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/15/2011","AQS","170310063","1","41","ppb","39","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/16/2011","AQS","170310063","1","50","ppb","47","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/17/2011","AQS","170310063","1","46","ppb","43","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/18/2011","AQS","170310063","1","36","ppb","34","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/19/2011","AQS","170310063","1","51","ppb","48","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/20/2011","AQS","170310063","1","53","ppb","50","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
