"Lat","Lon","interpolated_Ozone_concentration","interpolated_days_over_legal_threshold","interpolated_AQI","interpolated_est_days_mod_AQI_thresh","interpolated_est_days_sens_AQI_thresh","interpolated_est_days_unhealthy_AQI_thresh","Year"
37.1545747,-93.304959,0.0409460915683051,0,39.1385609779093,42.2670280450933,0,0,"2015"
37.17436555,-93.2958116,0.0409501918162271,0,39.141855665259,42.2783913454988,0,0,"2015"
37.217619,-94.579795,0.0411305555339324,0,39.2811540917945,42.7955823594155,0,0,"2015"
37.226769,-93.27841,0.0409622589900341,0,39.151509399456,42.3120262491597,0,0,"2015"
37.300455,-89.982036,0.0407018821135597,0,38.9400060692319,41.557171550112,0,0,"2015"
37.407001,-94.617242,0.0412038069441422,0,39.3389066456981,43.0017170730956,0,0,"2015"
37.43376791,-90.9599275,0.0407073381199024,0,38.9714233372252,41.6079159462797,0,0,"2015"
37.72830017,-89.87333733,0.0408218921947736,0,39.0212636134121,41.5987089446037,0,0,"2015"
37.749516,-93.769766,0.0411893350821105,0,39.3290498077752,42.9589787064635,0,0,"2015"
37.95826855,-91.7526073,0.040965202168102,0,39.1703151457233,42.1753422678567,0,0,"2015"
37.9859009,-90.677457,0.0410642368486244,0,39.2922567148236,42.71231215654,0,0,"2015"
38.06826174,-91.39533943,0.0406443933426239,0,38.9314507454052,41.0680385051326,0,0,"2015"
38.342922,-91.027375,0.0404443451942232,0,38.7943029703831,39.4495827279899,0,0,"2015"
38.387801,-89.274788,0.0405696449937493,0,38.8290686456112,41.3321085873233,0,0,"2015"
38.392795,-91.162087,0.0404530003971607,0,38.7994965910364,39.8901509920358,0,0,"2015"
38.4193247,-90.39766835,0.0420751950514749,0,40.9995146193931,53.6796132412944,0,0,"2015"
38.44080654,-90.19393026,0.037750137255686,0,36.1810020723002,34.2263334311382,0,0,"2015"
38.453872,-90.311153,0.0404434509632745,0,39.1679619219713,45.0581360187388,0,0,"2015"
38.459055,-90.09146537,0.0373365484005367,0,35.7086708875621,33.1404918065682,0,0,"2015"
38.459226,-90.447618,0.0417598251954924,0,40.6282936725826,51.4536416328369,0,0,"2015"
38.469952,-90.442603,0.0417595954654282,0,40.6309612122974,51.4921994188826,0,0,"2015"
38.49169217,-90.77249951,0.0406054126434022,0,38.8295204203078,36.6253686484752,0,0,"2015"
38.5015756,-90.6305876,0.0406169483986733,0,38.908105570039,37.5832104124398,0,0,"2015"
38.5093344,-89.97449117,0.0383951736884891,0,36.8153630775512,37.0707411998375,0,0,"2015"
38.51189912,-89.96990022,0.038463187552234,0,36.8876627749831,37.3434012335633,0,0,"2015"
38.51255737,-90.28704596,0.038233501280524,0,36.7539880814777,35.6674172074385,0,0,"2015"
38.51587489,-89.9949911,0.0380801121436752,0,36.4927865165234,36.0766288309679,0,0,"2015"
38.51756771,-89.95049886,0.0387419816936385,0,37.1804135570048,38.4079949692204,0,0,"2015"
38.51936538,-90.00368035,0.0379328227693932,0,36.3413005308158,35.6178863244303,0,0,"2015"
38.530769,-89.9584345,0.0386881419469252,0,37.1364870917031,38.4416096800366,0,0,"2015"
38.53838,-90.045413,0.0371074344339089,0,35.4845540494382,33.1209185824579,0,0,"2015"
38.53839743,-89.12726414,0.0405743499036419,0,38.847120877589,41.4167902656996,0,0,"2015"
38.54212252,-90.33681305,0.0391204933910306,0,37.7266059475665,38.7597376361087,0,0,"2015"
38.54414842,-90.00861102,0.0378566163776999,0,36.2744788446362,35.6470971785512,0,0,"2015"
38.548874,-90.063209,0.0367010439133529,0,35.0598689287597,31.9958469090613,0,0,"2015"
38.549663,-90.372434,0.0398881385465668,0,38.5639331508305,41.7909378606687,0,0,"2015"
38.550534,-90.25474624,0.0361024061464897,0,34.4601964745002,28.4309719017929,0,0,"2015"
38.552738,-90.0106191,0.0378409539715471,0,36.262170292201,35.689436756676,0,0,"2015"
38.55277579,-90.25504514,0.0360438176074859,0,34.3980458965043,28.2227457394876,0,0,"2015"
38.5554626,-90.4944996,0.0407445311972724,0,39.4407997629993,43.7820816833809,0,0,"2015"
38.55680396,-89.9010015,0.0395522506436766,0,38.0560276873833,42.1217918623542,0,0,"2015"
38.5577837,-90.4030657,0.040233720214563,0,38.937367119652,42.9593355630078,0,0,"2015"
38.559241,-90.520264,0.040755721247329,0,39.4201356372381,43.1609409571264,0,0,"2015"
38.559812,-90.249987,0.0357265303330815,0,34.0597069458199,27.2576685784063,0,0,"2015"
38.5603596,-90.2555495,0.0358334149909621,0,34.1748667157404,27.4835571499094,0,0,"2015"
38.56098,-90.243562,0.0355706982353604,0,33.8925562975896,26.8988163888655,0,0,"2015"
38.56322723,-90.25908508,0.0358346351218941,0,34.177328298515,27.3985204629794,0,0,"2015"
38.56348922,-90.2547016,0.0357220618344754,0,34.0565200259499,27.1184480755796,0,0,"2015"
38.563911,-90.24192623,0.0354602343319751,0,33.7751431010469,26.5685050141109,0,0,"2015"
38.56440423,-90.27579142,0.0362765081982885,0,34.6523137091797,28.5681158088883,0,0,"2015"
38.56511882,-90.25259795,0.0356274656424378,0,33.9556064419089,26.8453611938991,0,0,"2015"
38.565805,-90.421728,0.0403446390450217,0,39.0548570524759,43.0925703885462,0,0,"2015"
38.56621533,-90.30453624,0.0372406037770292,0,35.6904984110353,31.5510792276883,0,0,"2015"
38.56683065,-90.36645824,0.0393330674299242,0,37.9581056399658,39.1997613998976,0,0,"2015"
38.56749287,-90.24776372,0.0354597131058286,0,33.7764771351294,26.3969420920192,0,0,"2015"
38.5680312,-90.3257566,0.0379894563981523,0,36.4998788950559,34.1145763643998,0,0,"2015"
